id_promocion_articulo;id_promocion;id_articulo;fecha_inicio;fecha_fin;descuento_pct;precio_promocional;motivo
PRA000039;PMO202401;ART000137;2024-01-07;2024-01-31;0.0794;708.85;Rebajas
PRA000042;PMO202401;ART000145;2024-01-07;2024-01-31;0.1305;434.74;Rebajas
PRA000044;PMO202401;ART000151;2024-01-07;2024-01-31;0.1075;687.22;Rebajas
PRA000045;PMO202401;ART000153;2024-01-07;2024-01-31;0.102;502.87;Rebajas
PRA000046;PMO202401;ART000154;2024-01-07;2024-01-31;0.0902;445.79;Rebajas
PRA000048;PMO202401;ART000156;2024-01-07;2024-01-31;0.082;569.15;Rebajas
PRA000051;PMO202401;ART000165;2024-01-07;2024-01-31;0.1219;430.26;Rebajas
PRA000052;PMO202401;ART000168;2024-01-07;2024-01-31;0.088;601.91;Rebajas
PRA000053;PMO202401;ART000172;2024-01-07;2024-01-31;0.1115;533.09;Rebajas
PRA000072;PMO202401;ART000253;2024-01-07;2024-01-31;0.1209;105.48;Rebajas
PRA000076;PMO202401;ART000264;2024-01-07;2024-01-31;0.121;149.42;Rebajas
PRA000080;PMO202401;ART000269;2024-01-07;2024-01-31;0.1318;243.09;Rebajas
PRA000088;PMO202401;ART000287;2024-01-07;2024-01-31;0.0823;669.91;Rebajas
PRA000090;PMO202401;ART000289;2024-01-07;2024-01-31;0.1099;267.02;Rebajas
PRA000093;PMO202401;ART000294;2024-01-07;2024-01-31;0.0977;162.4;Rebajas
PRA000094;PMO202401;ART000295;2024-01-07;2024-01-31;0.1127;283.93;Rebajas
PRA000095;PMO202401;ART000297;2024-01-07;2024-01-31;0.085;128.09;Rebajas
PRA000101;PMO202401;ART000318;2024-01-07;2024-01-31;0.1122;648.09;Rebajas
PRA000102;PMO202401;ART000319;2024-01-07;2024-01-31;0.1274;602.09;Rebajas
PRA000105;PMO202401;ART000326;2024-01-07;2024-01-31;0.0957;108.51;Rebajas
PRA000108;PMO202401;ART000344;2024-01-07;2024-01-31;0.1177;149.98;Rebajas
PRA000112;PMO202401;ART000350;2024-01-07;2024-01-31;0.097;243.8;Rebajas
PRA000290;PMO202411;ART000142;2024-11-20;2024-12-02;0.1757;494.57;Black Friday
PRA000294;PMO202411;ART000151;2024-11-20;2024-12-02;0.1815;630.24;Black Friday
PRA000295;PMO202411;ART000153;2024-11-20;2024-12-02;0.2025;446.59;Black Friday
PRA000297;PMO202411;ART000158;2024-11-20;2024-12-02;0.1688;390.66;Black Friday
PRA000299;PMO202411;ART000161;2024-11-20;2024-12-02;0.1668;233.29;Black Friday
PRA000302;PMO202411;ART000168;2024-11-20;2024-12-02;0.1793;541.65;Black Friday
PRA000304;PMO202411;ART000172;2024-11-20;2024-12-02;0.1946;483.23;Black Friday
PRA000309;PMO202411;ART000177;2024-11-20;2024-12-02;0.1878;178.68;Black Friday
PRA000311;PMO202411;ART000188;2024-11-20;2024-12-02;0.171;132.63;Black Friday
PRA000315;PMO202411;ART000195;2024-11-20;2024-12-02;0.164;175.55;Black Friday
PRA000318;PMO202411;ART000199;2024-11-20;2024-12-02;0.2025;239.24;Black Friday
PRA000320;PMO202411;ART000203;2024-11-20;2024-12-02;0.1708;290.21;Black Friday
PRA000346;PMO202411;ART000253;2024-11-20;2024-12-02;0.2105;94.73;Black Friday
PRA000347;PMO202411;ART000256;2024-11-20;2024-12-02;0.1851;162.97;Black Friday
PRA000356;PMO202411;ART000278;2024-11-20;2024-12-02;0.1671;341.48;Black Friday
PRA000358;PMO202411;ART000281;2024-11-20;2024-12-02;0.1593;437.16;Black Friday
PRA000359;PMO202411;ART000287;2024-11-20;2024-12-02;0.206;579.61;Black Friday
PRA000361;PMO202411;ART000289;2024-11-20;2024-12-02;0.2095;237.14;Black Friday
PRA000365;PMO202411;ART000294;2024-11-20;2024-12-02;0.1919;145.45;Black Friday
PRA000366;PMO202411;ART000296;2024-11-20;2024-12-02;0.1766;181.14;Black Friday
PRA000367;PMO202411;ART000297;2024-11-20;2024-12-02;0.2005;111.92;Black Friday
PRA000369;PMO202411;ART000299;2024-11-20;2024-12-02;0.162;92.17;Black Friday
PRA000371;PMO202411;ART000306;2024-11-20;2024-12-02;0.1683;249.5;Black Friday
PRA000377;PMO202411;ART000321;2024-11-20;2024-12-02;0.196;168.83;Black Friday
PRA000384;PMO202411;ART000344;2024-11-20;2024-12-02;0.1651;141.92;Black Friday
PRA000386;PMO202411;ART000350;2024-11-20;2024-12-02;0.1787;221.74;Black Friday
PRA000391;PMO202412;ART000137;2024-12-10;2024-12-24;0.0976;694.84;Navidad
PRA000394;PMO202412;ART000142;2024-12-10;2024-12-24;0.1044;537.35;Navidad
PRA000396;PMO202412;ART000145;2024-12-10;2024-12-24;0.0861;456.94;Navidad
PRA000400;PMO202412;ART000165;2024-12-10;2024-12-24;0.062;459.61;Navidad
PRA000406;PMO202412;ART000181;2024-12-10;2024-12-24;0.0836;256.58;Navidad
PRA000407;PMO202412;ART000182;2024-12-10;2024-12-24;0.0991;279.27;Navidad
PRA000410;PMO202412;ART000188;2024-12-10;2024-12-24;0.1002;143.96;Navidad
PRA000416;PMO202412;ART000199;2024-12-10;2024-12-24;0.0901;272.96;Navidad
PRA000425;PMO202412;ART000324;2024-12-10;2024-12-24;0.0714;260.0;Navidad
PRA000429;PMO202412;ART000341;2024-12-10;2024-12-24;0.0834;36.65;Navidad
PRA000430;PMO202412;ART000342;2024-12-10;2024-12-24;0.0742;55.54;Navidad
PRA000432;PMO202412;ART000348;2024-12-10;2024-12-24;0.1136;44.31;Navidad
PRA000480;PMO202501;ART000135;2025-01-07;2025-01-31;0.1024;924.52;Rebajas
PRA000481;PMO202501;ART000137;2025-01-07;2025-01-31;0.0852;704.39;Rebajas
PRA000483;PMO202501;ART000142;2025-01-07;2025-01-31;0.1344;519.35;Rebajas
PRA000487;PMO202501;ART000154;2025-01-07;2025-01-31;0.0943;443.78;Rebajas
PRA000488;PMO202501;ART000156;2025-01-07;2025-01-31;0.1085;552.72;Rebajas
PRA000489;PMO202501;ART000158;2025-01-07;2025-01-31;0.1344;406.82;Rebajas
PRA000490;PMO202501;ART000161;2025-01-07;2025-01-31;0.1306;243.42;Rebajas
