id_venta,id_linea_venta,id_fecha,fecha_venta,id_usuario,id_articulo,id_canal,id_promocion,unidades,precio_lista_unitario,descuento_pct,importe_descuento,precio_unitario_final,importe_bruto,importe_neto,iva_pct,importe_iva,importe_total,coste_unitario,margen_bruto,metodo_pago,estado_venta
VTA0000001,VTA0000001-01,20240101,2024-01-01 00:00:00,USR_NO_REG,ART000177,CAN001,SIN_PROMO,1,219.99,0.0,0.0,219.99,219.99,219.99,0.21,46.2,266.19,143.73,76.26,Efectivo,Completada
VTA0000002,VTA0000002-01,20240110,2024-01-10 00:00:00,USR_NO_REG,ART000146,CAN001,SIN_PROMO,2,879.99,0.0,0.0,879.99,1759.98,1759.98,0.21,369.6,2129.58,587.38,585.22,Tarjeta,Completada
VTA0000003,VTA0000003-01,20240111,2024-01-11 00:00:00,USR_NO_REG,ART000264,CAN001,SIN_PROMO,1,169.99,0.0,0.0,169.99,169.99,169.99,0.21,35.7,205.69,105.35,64.64,Bizum,Completada
VTA0000004,VTA0000004-01,20240114,2024-01-14 00:00:00,USR_NO_REG,ART000360,CAN004,SIN_PROMO,1,709.99,0.0,0.0,709.99,709.99,709.99,0.21,149.1,859.09,425.1,284.89,Tarjeta,Completada
VTA0000005,VTA0000005-01,20240122,2024-01-22 00:00:00,USR_NO_REG,ART000301,CAN002,SIN_PROMO,1,179.99,0.0,0.0,179.99,179.99,179.99,0.21,37.8,217.79,110.96,69.03,Tarjeta,Completada
VTA0000006,VTA0000006-01,20240124,2024-01-24 00:00:00,USR_NO_REG,ART000142,CAN001,SIN_PROMO,1,599.99,0.0,0.0,599.99,599.99,599.99,0.21,126.0,725.99,424.76,175.23,PayPal,Completada
VTA0000007,VTA0000007-01,20240128,2024-01-28 00:00:00,USR_NO_REG,ART000181,CAN007,SIN_PROMO,1,279.99,0.0,0.0,279.99,279.99,279.99,0.21,58.8,338.79,151.85,128.14,Tarjeta,Completada
VTA0000008,VTA0000008-01,20240130,2024-01-30 00:00:00,USR_NO_REG,ART000199,CAN001,SIN_PROMO,1,299.99,0.0,0.0,299.99,299.99,299.99,0.21,63.0,362.99,177.45,122.54,Financiacion,Completada
VTA0000009,VTA0000009-01,20240131,2024-01-31 00:00:00,USR_NO_REG,ART000146,CAN004,SIN_PROMO,1,879.99,0.0,0.0,879.99,879.99,879.99,0.21,184.8,1064.79,587.38,292.61,Tarjeta,Completada
VTA0000010,VTA0000010-01,20240131,2024-01-31 00:00:00,USR_NO_REG,ART000326,CAN001,PMO202401,1,119.99,0.0957,11.48,108.51,119.99,108.51,0.21,22.79,131.3,69.05,39.46,Financiacion,Completada
VTA0000011,VTA0000011-01,20240205,2024-02-05 00:00:00,USR_NO_REG,ART000182,CAN004,SIN_PROMO,1,309.99,0.0,0.0,309.99,309.99,309.99,0.21,65.1,375.09,196.36,113.63,PayPal,Completada
VTA0000012,VTA0000012-01,20240207,2024-02-07 00:00:00,USR_NO_REG,ART000281,CAN003,SIN_PROMO,1,519.99,0.0,0.0,519.99,519.99,519.99,0.21,109.2,629.19,347.71,172.28,Tarjeta,Completada
VTA0000013,VTA0000013-01,20240209,2024-02-09 00:00:00,USR_NO_REG,ART000342,CAN003,SIN_PROMO,1,59.99,0.0,0.0,59.99,59.99,59.99,0.21,12.6,72.59,32.69,27.3,Financiacion,Completada
VTA0000014,VTA0000014-01,20240215,2024-02-15 00:00:00,USR_NO_REG,ART000193,CAN003,SIN_PROMO,1,419.99,0.0,0.0,419.99,419.99,419.99,0.21,88.2,508.19,286.63,133.36,Bizum,Completada
VTA0000015,VTA0000015-01,20240218,2024-02-18 00:00:00,USR_NO_REG,ART000350,CAN002,SIN_PROMO,1,269.99,0.0,0.0,269.99,269.99,269.99,0.21,56.7,326.69,182.1,87.89,Tarjeta,Completada
VTA0000016,VTA0000016-01,20240220,2024-02-20 00:00:00,USR_NO_REG,ART000172,CAN004,SIN_PROMO,1,599.99,0.0,0.0,599.99,599.99,599.99,0.21,126.0,725.99,394.91,205.08,Tarjeta,Completada
VTA0000017,VTA0000017-01,20240228,2024-02-28 00:00:00,USR_NO_REG,ART000260,CAN003,SIN_PROMO,1,309.99,0.0,0.0,309.99,309.99,309.99,0.21,65.1,375.09,173.46,136.53,PayPal,Completada
VTA0000018,VTA0000018-01,20240326,2024-03-26 00:00:00,USR_NO_REG,ART000341,CAN002,SIN_PROMO,1,39.99,0.0,0.0,39.99,39.99,39.99,0.21,8.4,48.39,24.2,15.79,Tarjeta,Completada
